ICO,symbol,raised,hardcap,exchange_rate_USD,Exchange_rate_BTC,bonus,date,fst_exchange_date,days_to_exchange,Exchange_score,team,advisor_investor,use_case,social_media,Time_to_max,Max_flip,max_drawdown,time_to_2x,time_to_3x,time_to_4x,time_to_5x,time_to_10x,time_to_20x,current_progress
Augur,AUGUR,5300,,0.602,0.00138766,,7/31/2015,,,,,,,,,,,,,,,,,
Lisk,LISK,6500,,0.076,0.0001941,,2/21/2016,,,,,,,,,,,,,,,,,
Waves,WAVES,16010,,0.188,0.00049961,,4/11/2016,,,,,,,,,,,,,,,,,
Stratis,STRAT,610,,0.007,0.00001089,,6/19/2016,,,,,,,,,,,,,,,,,
Iconomi,ICN,10682,,0.126,0.00024599,,8/24/2016,,,,,,,,,,,,,,,,,
Lykke,LKK,2800,,0.056,0.00010281,,9/15/2016,,,,,,,,,,,,,,,,,
FirstBlood,1ST,5500,,0.064,0.00011994,,9/24/2016,,,,,,,,,,,,,,,,,
Komodo,KMD,1983,,0.376,0.00064545,,10/14/2016,,,,,,,,,,,,,,,,,
Ark,ARK,942,,0.01,0.0000179,,11/6/2016,,,,,,,,,,,,,,,,,
Golem,GNT,8596,,0.01,0.00001584,,11/10/2016,,,,,,,,,,,,,,,,,
wings,WINGS,2000,12000,0.028,0.0000392,,1/6/2017,1/11/2017,5,7,0,0,6,,122,10,-11%,14,101,101,122,122,n/a,
melon,MLN,2900,2900,5.8,0.00604871,,2/16/2017,3/15/2017,28,6,7,6,7,,5,8,-23%,0,0,0,0,n/a,n/a,
Metal,MTL,3795,,0.18,0.0001465,,2/28/2017,,,,,,,,,,,,,,,,,
Qtum,QTUM,15000,15000,0.292,0.00024714,,3/11/2017,5/25/2017,67,8,7,8,7,,29,23,277%,0,0,0,0,9,29,
iexec rlc,RLC,12000,,0.25,0.00019833,,4/19/2017,4/21/2017,2,8,8,0,8,,19,2,-83%,19,n/a,n/a,n/a,n/a,n/a,
Gnosis,GNO,10682,,25.51,0.02208552,,4/23/2017,,,,,,,,,,,,,,,,,
Aragon,ANT,24750,,0.917,0.00050554,,5/16/2017,,,,,,,,,,,,,,,,,
Storj,STORJ,30000,30000,0.5,0.00020091,,5/25/2017,,,,,,,,,,,,,,,,,
Mysterium,Myst,14106,,0.928,0.00041198,,5/29/2017,,,,,,,,,,,,,,,,,
Basic Attention Token,BAT,35000,,0.035,0.00001541,,5/30/2017,,,,,,,,,,,,,,,,,
Cofound.it,CFI,14820,12500,0.12,0.00004455,,6/7/2017,6/19/2017,12,6,,,,,1,3,-77%,0,0,n/a,n/a,n/a,n/a,
Bancor,BNT,153000,,3.864,0.00139024,,6/11/2017,,,,,,,,,,,,,,,,,
sonm,snm,42000,,0.16,0.00006078,,6/19/2017,6/16/2017,0,7,5,0,8,,1,5,-50%,0,1,1,1,n/a,n/a,
Status,SNT,109488,,0.036,0.00001377,,6/19/2017,,,,,,,,,,,,,,,,,
FunFair,FUN,26000,,0.007,0.00000251,,6/21/2017,,,,,,,,,,,,,,,,,
civic,cvc,33000,,0.1,0.00003651,,6/22/2017,7/17/2017,25,8,9,8,10,,24,4,-45%,0,24,24,n/a,n/a,n/a,
omisego,OMG,25000,25000,0.35,0.00012528,,6/23/2017,7/14/2017,21,9,5,9,10,,56,22,140%,1,9,10,19,20,46,
tenx,pay,80000,,0.87,0.00024648,,6/24/2017,7/8/2017,14,6,9,7,8,,34,5,-45%,28,28,34,34,n/a,n/a,
EOS,EOS,185000,,0.925,0.00036874,,6/25/2017,,,,,,,,,,,,,,,,,
polybius,PLBT,62000,100000,10,0.00383071,,6/30/2017,7/7/2017,7,2,6,4,8,,0,1,-94%,n/a,n/a,n/a,n/a,n/a,n/a,
adex,adx,10000,,0.24,0.00009917,,6/30/2017,7/12/2017,12,8,5,8,8,,36,4,-56%,1,36,36,n/a,n/a,n/a,
mothership,MSP,5400,,0.04,0.0000015,,7/21/2017,7/28/2017,7,4,5,4,8,,29,44,400%,0,0,0,0,0,18,
populous,ppt,10220,,0.25,0.00009028,,7/24/2017,7/13/2017,0,7,7,5,9,,122,42,518%,0,0,0,0,0,122,
tierion,TNT,25000,25000,0.071,0.00002087,,8/9/2017,8/27/2017,18,6,5,7,9,,1,3,-75%,0,1,n/a,n/a,n/a,n/a,
po.et,poe,10000,10000,0.0064,0.00000189,,8/9/2017,9/1/2017,21,8,8,9,8,,94,6,-66%,0,90,90,94,n/a,n/a,
obsidian,odn,1566,,0.15,0.00003881,,8/12/2017,10/1/2017,48,3,6,3,8,,4,5,-46%,1,2,3,4,n/a,n/a,
SALT,SALT,48500,48500,0.89,0.00021637,,8/15/2017,,,,,,,,,,,,,,,,,
0x,ZRX,24000,24000,0.048,0.00001143,,8/16/2017,8/16/2017,0,10,9,8,9,,120,16,120%,0,1,1,1,2,n/a,
Agrello,DLT,30100,43200,0.43,0.0001,,8/16/2017,,,,,,,,,,,,,,,,,
neblio,nebl,1483,,0.2,0.00004921,,8/20/2017,9/13/2017,23,7,6,3,8,,117,82,365%,0,0,1,1,22,113,
monetha,MTH,35900,35900,0.16,0.00003479,,8/31/2017,9/6/2017,6,5,6,6,8,,0,1,-87%,1,n/a,n/a,n/a,n/a,n/a,
everex,evx,25000,25000,2.1,0.00045828,,8/31/2017,10/10/2017,40,7,4,5,9,,0,1,-86%,n/a,n/a,n/a,n/a,n/a,n/a,
Tron,Trx,70000,70000,0.0019,0.00000038,,9/2/2017,9/2/2017,10,8,,,,,94,44,-50%,15,106,106,106,122,124,
aventus,AVT,18700,18700,3.4,0.00077121,,9/6/2017,9/7/2017,1,4,4,0,4,,0,1,-66%,n/a,n/a,n/a,n/a,n/a,n/a,
Indorse token,IND,9200,15000,0.33,0.000073,,9/7/2017,9/18/2017,11,3,,,,,1,1,-93%,n/a,n/a,n/a,n/a,n/a,n/a,
enigma,ENG,45000,45000,0.6,0.00014271,,9/11/2017,10/12/2017,31,8,,,,,90,3.8,-77%,77,83,n/a,n/a,n/a,n/a,
kyber network,knc,46000,46000,0.38,0.00011212,,9/16/2017,9/24/2017,8,9,8,8,9,,1,5,-30%,0,0,0,1,n/a,n/a,
Chainlink,LINK,32000,32000,0.11,0.0000228,,9/19/2017,,,,,,,,,,,,,,,,,
icon,ICX,43000,43000,0.11,0.00002886,,9/20/2017,10/27/2017,37,9,7,8,9,,73,29,235%,0,1,6,6,59,72,
cindicator,CND,15000,15000,0.01,0.00000264,,9/24/2017,10/13/2017,19,5,5,8,8,,67,7,-61%,47,52,52,67,n/a,n/a,
red pulse,RPX,14500,14500,0.0358,0.00000792,,10/8/2017,10/29/2017,21,3,6,8,6,,72,5,-76%,60,64,69,72,n/a,n/a,
Airswap,AST,12600,12600,0.3,0.00006312,,10/11/2017,,,,,,,,,,,,,,,,,
paragon,PRG,6000,100000,1,0.00017735,,10/16/2017,10/26/2017,10,2,3,3,3,,0,1,-91%,n/a,n/a,n/a,n/a,n/a,n/a,
request network,req,32895,,0.06,0.00001176,,10/17/2017,10/20/2017,3,8,7,8,9,,66,6,-62%,55,61,62,62,n/a,n/a,
Unikoin Gold,UKG,29436,86400,0.3,0.00008282,,10/23/2017,,,,,,,,,,,,,,,,,
decision token,HST,900,61000,0.0874,0.00001435,,10/30/2017,11/13/2017,13,5,5,6,10,,58,22,186%,0,0,42,43,56,59,
dragonchain,DRGN,13000,,0.0663,0.00000944,,11/3/2017,12/3/2017,30,5,8,7,8,,38,34,191%,0,5,14,15,27,32,
ripio credit network,RCN,37800,37800,0.0743,0.00000981,,11/5/2017,11/5/2017,3,8,6,8,9,,54,3,-25%,2,54,n/a,n/a,n/a,n/a,
grid+,grid,32200,89000,1.15,0.00017019,,11/12/2017,11/13/2017,1,1,8,7,7,,0,1,-76%,n/a,n/a,n/a,n/a,n/a,n/a,
quantstamp,QSP,31300,31300,0.072,0.00000933,,11/19/2017,11/21/2017,2,6,7,7,10,,49,5,-43%,2,33,48,49,n/a,n/a,
aion,AION,20000,20000,1,0.0002087,,11/24/2017,12/7/2017,13,7,,,,,35,3.5,-32%,26,33,n/a,n/a,n/a,n/a,
wabi,wabi,11500,11500,0.24,0.00002296,,11/30/2017,12/12/2017,12,6,8,9,9,,27,15,242%,0,0,4,5,26,n/a,
ETHLend,LEND,17860,17860,0.0173,0.0000021,,11/30/2017,,,,,,,,,,,,,,,,,
Storm,STORM,30716,27600,0.0113,0.00000066,,12/8/2017,,,,,,,,,,,,,,,,,
AELF,elf,25000,25000,0.099,0.00000718,,12/10/2017,12/21/2017,11,7,7,8,8,,16,23,804%,0,0,0,0,0,15,
gifto,GTO,10000,10000,0.1,0.00000598,,12/14/2017,12/18/2017,4,4,7,9,8,,24,11,287%,0,0,14,15,24,n/a,
medibloc,MED,21000,30000,0.0088,0.00000053,,12/15/2017,12/22/2017,7,2,7,8,8,,19,20,283%,0,3,5,16,18,19,
deepbrain chain,Dbc,11700,11700,0.0158,0.00000089,,12/15/2017,12/28/2017,13,4,2,8,9,,13,42,600%,0,0,0,0,3,11,
bounty0x,BNTY,1600,10000,0.0165,0.00000089,,12/16/2017,12/27/2017,11,5,3,5,9,,12,65,411%,0,0,0,0,1,1,
sophiatx,SPHTX,23000,80000,0.0716,0.00000361,,12/17/2017,12/26/2017,9,3,7,4,8,,23,28,600%,0,0,0,0,5,14,
zilliqa,ZIL,22000,22000,0.0038,0.00000025,,1/4/2018,1/25/2018,21,5,,,,,1,1,2000%,0,0,0,0,0,0,
Coinfi,COFI,15000,1500,0.1,0.0000068,,1/10/2018,1/29/2018,19,3,8,5,8,,1,34,136%,0,0,1,n/a,n/a,n/a,
GatCoin,GAT,14500,14500,0.0318,0.00000221,,1/14/2018,1/14/2018,5,2,,,,,1,3,-35%,0,0,n/a,n/a,n/a,n/a,
SelfKey,KEY,21776,21800,0.015,0.00000104,,1/14/2018,,,,,,,,,,,,,,,,,
Trinity Network Credit,TNC,20000,20000,0.06,0.00000445,,1/14/2018,,,,,,,,,,,,,,,,,
THEKEY,TKY,22000,22000,0.0352,0.00000266,,1/15/2018,2/6/2018,22,2,7,8,9,,2,1.65,-5%,n/a,n/a,n/a,n/a,n/a,n/a,
OriginTrail,TRAC,14557,14600,0.1,0.00001032,,1/17/2018,,,,,,,,,,,,,,,,,
Bluzelle,BLZ,19500,19500,0.12,0.0000096,,1/18/2018,1/18/2018,19,6,,,,,1,10.9x,500%,0,0,0,0,n/a,n/a,
Odyssey,OCN,50000,50000,0.0199,0.00000114,,1/23/2018,1/23/2018,1,5,,,,,5,9,143%,1,3,4,5,n/a,n/a,
WePower,WPR,40000,40000,0.13,0.00001373,,2/1/2018,,,,,,,,,,,,,,,,,
datawallet,DXT,40000,40000,0.18,0.00002515,,2/5/2018,2/9/2018,4,1,,,,,1,1,-68%,n/a,n/a,n/a,n/a,n/a,n/a,
Fusion,FSN,42000,42000,2.06,0.0002508,,2/11/2018,2/15/2018,4,2,,,,,1,1.54,5%,n/a,n/a,n/a,n/a,n/a,n/a,
